Index,Eigenvalue
0,6249046.000000
1,1658.735718
2,1655.481567
3,1653.993408
4,1646.490356
5,1640.070312
6,1637.413330
7,1634.669678
8,1631.215088
9,1626.354126
10,1623.745361
11,1623.592285
12,1619.187866
13,1614.670166
14,1612.459717
15,1609.141357
16,1606.051392
17,1602.523438
18,1600.614136
19,1596.037231
20,1594.978149
21,1592.515747
22,1590.365601
23,1588.513794
24,1586.593018
25,1584.592773
26,1580.884277
27,1578.503052
28,1577.352051
29,1575.916992
30,1572.720459
31,1569.742676
32,1568.949829
33,1567.166748
34,1564.482422
35,1561.774902
36,1560.541504
37,1558.936646
38,1556.668091
39,1555.871338
40,1552.164917
41,1551.266357
42,1548.146606
43,1546.359131
44,1545.152832
45,1543.657227
46,1541.643066
47,1539.876587
48,1538.321167
49,1536.629395
50,1535.617798
51,1532.147095
52,1531.649292
53,1530.427368
54,1529.994873
55,1529.074585
56,1527.770142
57,1525.263428
58,1523.172363
59,1522.147095
60,1518.416992
61,1517.160522
62,1514.978760
63,1512.102173
64,1511.297729
65,1508.820557
66,1508.024414
67,1506.982300
68,1506.190796
69,1503.933594
70,1502.483154
71,1500.444092
72,1499.426392
73,1497.535278
74,1495.273804
75,1494.143433
76,1491.686035
77,1490.876221
78,1489.892944
79,1487.588501
80,1486.501343
81,1484.439331
82,1483.729736
83,1482.703125
84,1481.239868
85,1479.017822
86,1477.965820
87,1475.985596
88,1474.901978
89,1473.138916
90,1471.718506
91,1471.387329
92,1468.540405
93,1468.367310
94,1466.448364
95,1465.235962
96,1463.782471
97,1462.917114
98,1461.696045
99,1459.557983
100,1458.958740
101,1458.155640
102,1457.054688
103,1456.001465
104,1455.105957
105,1452.825806
106,1450.602783
107,1449.367676
108,1447.420532
109,1446.146851
110,1445.299683
111,1443.739258
112,1443.437012
113,1440.873901
114,1440.148438
115,1439.451050
116,1436.121460
117,1435.236328
118,1434.801270
119,1433.163452
120,1430.686035
121,1428.590210
122,1428.207764
123,1426.383545
124,1425.628174
125,1424.400879
126,1423.059814
127,1421.832886
128,1419.487549
129,1418.510986
130,1418.309326
131,1417.150635
132,1415.483276
133,1414.857544
134,1413.787476
135,1413.248657
136,1411.225708
137,1409.380005
138,1408.548096
139,1407.971191
140,1406.469971
141,1405.241699
142,1404.216064
143,1401.943970
144,1401.168701
145,1400.936035
146,1399.934570
147,1398.864746
148,1397.326782
149,1396.209961
150,1394.370605
151,1393.479614
152,1392.570923
153,1391.646240
154,1389.042358
155,1387.445068
156,1386.382446
157,1384.601318
158,1384.052124
159,1383.048706
160,1381.569946
161,1380.162842
162,1379.376709
163,1378.135010
164,1377.146484
165,1376.528931
166,1373.363281
167,1372.721558
168,1371.672607
169,1369.674438
170,1368.689575
171,1367.663208
172,1366.834351
173,1366.555054
174,1365.500977
175,1364.498779
176,1363.540894
177,1363.157715
178,1361.536743
179,1361.215454
180,1360.142944
181,1358.051636
182,1357.115234
183,1356.281616
184,1355.098877
185,1352.819214
186,1352.409302
187,1350.990356
188,1349.180664
189,1347.581909
190,1347.391968
191,1346.107300
192,1344.491699
193,1343.698120
194,1342.345215
195,1342.030518
196,1341.444092
197,1340.351318
198,1338.671875
199,1336.943970
200,1335.616699
201,1335.312866
202,1333.520630
203,1332.673340
204,1331.968018
205,1331.119141
206,1330.444214
207,1328.796753
208,1328.364868
209,1326.242920
210,1325.814697
211,1325.557983
212,1324.220337
213,1322.925293
214,1321.697632
