PC1,PC2,PC3,PC4,PC5
0.513512,-0.212135,0.145282,0.082980,0.036495
0.700959,-0.783232,0.036079,-0.412896,0.165041
0.256595,-0.120915,0.204588,-0.120353,0.455491
0.005096,-0.107925,0.173155,-0.018952,-0.000641
-0.264318,-0.136772,-0.209936,0.400940,0.550440
-0.143287,-0.072738,-0.412895,-0.490069,-0.070432
-0.279710,-0.283407,-0.009773,-0.179754,-0.327690
0.202650,0.117417,-0.115522,-0.242792,0.372784
0.153634,-0.265704,0.085194,-0.008600,-0.262460
0.186726,-0.142588,0.366321,0.394684,0.238965
-0.146609,-0.169695,0.254067,-0.182852,-0.394599
0.028484,-0.687211,-0.009273,-0.060452,0.197213
-0.270944,0.130236,0.373333,-0.144062,-0.096579
-0.167165,-0.077207,-0.102422,-0.176896,0.231251
-0.364501,0.118603,0.241393,-0.347253,0.155990
0.299644,0.080033,-0.115088,-0.007824,0.250334
0.380278,0.127502,-0.020084,-0.014689,0.077906
0.089472,-0.138587,-0.003983,0.361463,-0.041992
0.080291,-0.264450,0.141155,0.057719,-0.470477
-0.562687,0.327275,0.061969,-0.249673,-0.108514
0.437405,0.513720,0.237779,0.101355,0.333220
0.545195,-0.192930,-0.347758,0.044194,0.044791
-0.195305,0.279372,0.149721,-0.242444,0.186128
-0.229338,-0.013179,0.432145,0.139910,0.099768
0.112130,0.067493,0.004727,0.073353,0.366895
0.441129,0.139262,0.088528,-0.038558,0.089723
-0.287406,-0.031764,-0.219423,-0.379320,-0.031484
-0.101811,0.323626,-0.120636,-0.385798,-0.237904
0.118211,0.100521,-0.260945,-0.434743,0.063171
0.072721,-0.177206,0.182872,0.214802,0.613774
-0.232366,-0.018298,0.511374,-0.277300,0.215204
-0.024474,-0.269208,-0.169029,-0.006612,-0.205792
-0.558863,0.111359,-0.431977,0.030045,-0.105153
0.327912,0.291087,-0.296809,-0.003371,0.259421
0.610828,-0.410343,0.162378,0.239760,0.045669
-0.041468,-0.326972,-0.182320,0.195381,-0.590451
0.389885,0.022415,0.626033,0.558541,0.096148
0.148672,-0.848148,-0.271020,-0.009142,0.418006
-0.304523,-0.211310,0.211296,-0.187566,-0.030075
-0.094709,-0.252454,-0.354663,0.003299,-0.353907
0.052405,0.074866,-0.171787,-0.013903,-0.534903
0.472141,-0.420525,0.307613,0.375009,-0.036276
-0.017040,-0.079460,0.075065,0.124061,0.375575
0.450077,0.090253,0.318337,-0.245328,-0.260209
-0.044845,-0.250714,0.401580,0.019182,0.427893
0.450325,0.091425,0.063215,-0.338349,-0.162289
-0.145766,-0.203623,0.289576,0.304766,-0.261149
0.352016,0.431689,0.345763,-0.646664,0.181049
-0.060012,0.239731,0.152332,-0.662582,0.058391
0.121604,-0.263690,0.006427,0.278641,0.126296
0.401544,0.070759,-0.466865,0.221005,-0.012106
-0.241178,-0.004202,-0.321906,0.158171,-0.071291
0.164040,0.146307,0.288717,0.225887,-0.305198
0.177668,0.064661,0.077244,-0.409468,0.058674
0.307217,0.611959,-0.013856,0.133140,0.438851
-0.168676,-0.284855,-0.162646,0.054934,-0.041342
-0.138765,-0.666731,0.372534,0.304179,-0.723563
-0.233235,0.460821,0.378624,0.241212,-0.272579
-0.192060,0.319670,0.364081,0.261956,0.100981
0.254974,0.693067,-0.426178,-0.509223,0.103528
0.097654,-0.081413,-0.085706,-0.103497,-0.123256
0.474592,0.319532,0.389162,-0.081111,-0.107976
0.476199,-0.000904,-0.024737,0.247449,0.068546
-0.292355,-0.937610,-0.413688,-0.716530,-0.190960
0.002647,0.112724,-0.186521,-0.312768,0.112877
-0.392119,-0.019750,-0.315230,-0.508082,-0.029918
-0.190326,0.183591,-0.101118,0.660292,0.629669
-0.121452,-0.058752,-0.223636,-0.004628,0.253349
-0.062300,0.060856,-0.160189,0.097136,-0.467863
-0.014227,0.200526,0.125691,-0.064326,0.232450
0.766561,-0.021398,0.164793,0.127168,0.165537
0.370768,-0.443389,-0.223503,-0.727769,-0.044788
-0.159133,-0.109284,0.164281,0.253950,0.134898
-0.114618,0.394696,0.281610,-0.010470,0.314768
0.153421,0.109521,-0.197464,0.225274,-0.031171
0.139761,-0.251216,-0.222495,0.567597,0.318913
-0.525581,-0.274913,-0.336307,0.429781,-0.036123
-0.305220,0.012637,0.075021,0.234033,0.064009
0.155452,0.177928,0.113519,0.020352,-0.210254
-0.012400,-0.287678,0.405778,-0.127561,0.301580
-0.152110,-0.215480,0.166664,-0.211344,0.477453
-0.117205,-0.014409,-0.515278,-0.169302,-0.323802
-0.210031,0.268040,-0.571495,-0.158250,0.195746
-0.132757,-0.288070,-0.049055,-0.308268,-0.357569
-0.409562,-0.066123,0.242252,-0.007915,-0.468783
0.489128,-0.109614,0.076736,0.188594,-0.133809
-0.274171,-0.374105,0.063224,-0.008831,-0.005956
0.093260,-0.151216,-0.043759,-0.656374,-0.297623
-0.184918,0.125158,0.584085,-0.382010,0.158663
-0.337481,0.049592,0.160281,-0.044459,-0.698333
0.096986,-0.380499,-0.070345,0.607680,-0.316424
-0.270463,-0.485031,0.353961,-0.064699,-0.197900
-0.054663,0.244019,0.367756,0.202363,-0.146751
-0.395611,0.225755,0.296953,-0.000477,0.407107
0.009979,0.384919,-0.180337,-0.156849,0.095827
