Index,Singular_Value
0,2499.808594
1,40.725765
2,40.685150
3,40.666420
4,40.574146
5,40.494884
6,40.461590
7,40.427372
8,40.384300
9,40.324135
10,40.291218
11,40.288303
12,40.233089
13,40.178005
14,40.150600
15,40.109386
16,40.070667
17,40.025719
18,40.001972
19,39.945412
20,39.931904
21,39.901833
22,39.871532
23,39.848446
24,39.824677
25,39.800163
26,39.752548
27,39.722698
28,39.707958
29,39.689606
30,39.651386
31,39.614395
32,39.603352
33,39.580063
34,39.545036
35,39.511665
36,39.496323
37,39.474689
38,39.445934
39,39.435513
40,39.388561
41,39.377594
42,39.340248
43,39.316765
44,39.301880
45,39.282669
46,39.257572
47,39.234676
48,39.214405
49,39.191250
50,39.177536
51,39.135128
52,39.127972
53,39.112354
54,39.106495
55,39.094082
56,39.078083
57,39.043991
58,39.019588
59,39.008335
60,38.960075
61,38.943066
62,38.914127
63,38.877651
64,38.868084
65,38.835365
66,38.823818
67,38.809261
68,38.801052
69,38.770725
70,38.752205
71,38.728390
72,38.714066
73,38.690109
74,38.659492
75,38.645046
76,38.613926
77,38.603458
78,38.589668
79,38.561497
80,38.547691
81,38.518932
82,38.510029
83,38.498451
84,38.478859
85,38.448238
86,38.433933
87,38.409584
88,38.395126
89,38.372055
90,38.353390
91,38.351379
92,38.312729
93,38.310242
94,38.284325
95,38.269211
96,38.251434
97,38.239326
98,38.222450
99,38.194771
100,38.186420
101,38.176105
102,38.162525
103,38.150074
104,38.136864
105,38.108082
106,38.079033
107,38.063808
108,38.037151
109,38.020672
110,38.008915
111,37.988232
112,37.983940
113,37.950619
114,37.942402
115,37.933235
116,37.888851
117,37.876972
118,37.870495
119,37.848293
120,37.816769
121,37.788982
122,37.783165
123,37.760704
124,37.749218
125,37.734016
126,37.716461
127,37.699661
128,37.669155
129,37.655643
130,37.652645
131,37.636143
132,37.614300
133,37.606796
134,37.591301
135,37.585327
136,37.558823
137,37.533710
138,37.522522
139,37.515526
140,37.494713
141,37.477921
142,37.464474
143,37.434856
144,37.424286
145,37.421246
146,37.407551
147,37.393562
148,37.372406
149,37.357826
150,37.333084
151,37.321056
152,37.308708
153,37.298325
154,37.262882
155,37.241909
156,37.226688
157,37.203297
158,37.196121
159,37.182541
160,37.162067
161,37.143009
162,37.132801
163,37.115818
164,37.102276
165,37.094090
166,37.052250
167,37.043617
168,37.029015
169,37.001961
170,36.989048
171,36.974800
172,36.964592
173,36.959480
174,36.945496
175,36.932327
176,36.918999
177,36.912888
178,36.891315
179,36.887936
180,36.872684
181,36.844017
182,36.832203
183,36.820118
184,36.804790
185,36.773418
186,36.768284
187,36.749371
188,36.724583
189,36.703201
190,36.700661
191,36.682487
192,36.660706
193,36.649342
194,36.631920
195,36.627514
196,36.618694
197,36.604065
198,36.581142
199,36.557835
200,36.539639
201,36.535522
202,36.510788
203,36.499432
204,36.489475
205,36.478031
206,36.468620
207,36.447121
208,36.440590
209,36.411610
210,36.405838
211,36.401566
212,36.383419
213,36.365345
214,36.348671
215,36.340118
216,36.332554
217,36.309605
218,36.292076
219,36.283321
220,36.278896
221,36.273052
222,36.251057
223,36.230030
224,36.217224
225,36.198513
226,36.192795
227,36.168995
228,36.160828
229,36.159416
230,36.131351
231,36.117798
232,36.103535
233,36.090069
234,36.075974
235,36.057068
236,36.046276
237,36.037449
238,36.016819
239,36.012016
240,36.001354
241,35.970615
242,35.968090
243,35.952206
244,35.934093
245,35.925911
246,35.913212
247,35.890308
248,35.887566
249,35.883766
250,35.867359
251,35.851597
252,35.829296
253,35.812084
254,35.794323
255,35.785870
256,35.769772
257,35.751232
258,35.742413
259,35.727276
260,35.704544
261,35.699856
262,35.698071
263,35.668869
264,35.665134
265,35.643135
266,35.641815
267,35.625664
268,35.616299
269,35.615620
270,35.607082
271,35.604126
272,35.592960
273,35.563824
274,35.556622
275,35.543407
276,35.529804
277,35.523586
278,35.500584
279,35.491455
280,35.475342
281,35.461777
282,35.443752
283,35.424564
284,35.401814
285,35.398705
286,35.385574
287,35.377537
288,35.369453
289,35.360413
290,35.336044
291,35.330978
292,35.309776
293,35.302502
294,35.287029
295,35.265018
296,35.259171
297,35.252331
298,35.235447
299,35.224155
300,35.206688
301,35.200485
302,35.177166
303,35.164200
304,35.147491
305,35.145924
306,35.138542
307,35.110939
308,35.100952
309,35.078423
310,35.077484
311,35.066090
312,35.049274
313,35.040306
314,35.019115
315,35.002220
316,34.994205
317,34.979843
318,34.974819
319,34.968258
320,34.948544
321,34.943157
322,34.930012
323,34.914036
324,34.902031
325,34.894196
326,34.882843
327,34.859867
328,34.854404
329,34.839691
330,34.830025
331,34.818951
332,34.795933
333,34.791058
334,34.781223
335,34.769989
336,34.756260
337,34.751171
338,34.747509
339,34.730564
340,34.707172
341,34.694569
342,34.683937
343,34.670761
344,34.651642
345,34.643147
346,34.637383
347,34.624107
348,34.612343
349,34.596008
350,34.584412
351,34.567627
352,34.551189
353,34.548393
354,34.542007
355,34.518837
356,34.512020
357,34.498093
358,34.487930
359,34.484894
360,34.456131
361,34.449444
362,34.440022
363,34.432293
364,34.422718
365,34.412109
366,34.402657
367,34.392231
368,34.387005
369,34.354958
370,34.350491
371,34.340328
372,34.309036
373,34.297813
374,34.294468
375,34.287563
376,34.276077
377,34.264805
378,34.259251
379,34.242718
380,34.237213
381,34.222046
382,34.216614
383,34.204273
384,34.193733
385,34.180748
386,34.170456
387,34.160892
388,34.151260
389,34.142582
390,34.121616
391,34.114616
392,34.084141
393,34.078777
394,34.067356
395,34.051037
396,34.047401
397,34.043880
398,34.025150
399,34.008469
400,33.997074
401,33.976501
402,33.967209
403,33.962288
404,33.949356
405,33.937641
406,33.933205
407,33.925610
408,33.915943
409,33.903904
410,33.885838
411,33.874168
412,33.862610
413,33.849033
414,33.840496
415,33.837215
416,33.820721
417,33.804237
418,33.797752
419,33.785004
420,33.771645
421,33.752254
422,33.743076
423,33.736961
424,33.706692
425,33.699310
426,33.689171
427,33.684261
428,33.670185
429,33.666183
430,33.654999
431,33.638382
432,33.630836
433,33.619820
434,33.609043
435,33.595741
436,33.587761
437,33.580444
438,33.566315
439,33.548470
440,33.543831
441,33.529171
442,33.517479
443,33.496010
444,33.494488
445,33.486526
446,33.473251
447,33.464417
448,33.448444
449,33.443489
450,33.441734
451,33.423656
452,33.414143
453,33.399372
454,33.390945
455,33.378735
456,33.372501
457,33.362911
458,33.347404
459,33.337296
460,33.316360
461,33.314087
462,33.310570
463,33.304260
464,33.287067
465,33.280422
466,33.261227
467,33.255409
468,33.236900
469,33.226246
470,33.221043
471,33.215820
472,33.206604
473,33.191029
474,33.175640
475,33.159695
476,33.146732
477,33.140724
478,33.130096
479,33.114864
480,33.099873
481,33.098175
482,33.087753
483,33.085236
484,33.065002
485,33.062820
486,33.035152
487,33.026608
488,33.017776
489,33.000599
490,32.997314
491,32.992355
492,32.972382
493,32.962353
494,32.957077
495,32.951416
496,32.934898
497,32.914761
498,32.904957
499,32.892006
500,32.878780
501,32.875172
502,32.868370
503,32.854450
504,32.842648
505,32.836845
506,32.825344
507,32.819855
508,32.804008
509,32.796894
510,32.784370
511,32.774242
512,32.771168
513,32.746048
514,32.734093
515,32.728760
516,32.711761
517,32.699562
518,32.693211
519,32.674831
520,32.670128
521,32.660419
522,32.648216
523,32.628460
524,32.626118
525,32.607609
526,32.601986
527,32.580669
528,32.574005
529,32.559814
530,32.549450
531,32.545509
532,32.535385
533,32.525993
534,32.512096
535,32.511463
536,32.482765
537,32.475311
538,32.469326
539,32.460350
540,32.448505
541,32.436050
542,32.432884
543,32.429150
544,32.404175
545,32.398708
546,32.380379
547,32.366844
548,32.360199
549,32.349262
550,32.339802
551,32.332253
552,32.323326
553,32.302143
554,32.287033
555,32.275791
556,32.273376
557,32.256489
558,32.252647
559,32.245667
560,32.231556
561,32.228203
562,32.218349
563,32.200314
564,32.188374
565,32.177380
566,32.172276
567,32.167564
568,32.150372
569,32.140362
570,32.127640
571,32.121426
572,32.107346
573,32.098660
574,32.081028
575,32.074562
576,32.069008
577,32.062763
578,32.047306
579,32.027092
580,32.026859
581,32.016880
582,32.008793
583,31.996387
584,31.992830
585,31.988728
586,31.972395
587,31.965752
588,31.939024
589,31.929087
590,31.921303
591,31.910366
592,31.900917
593,31.897329
594,31.879744
595,31.872564
596,31.863771
597,31.847733
598,31.831181
599,31.829956
600,31.827427
601,31.804304
602,31.798532
603,31.793306
604,31.777832
605,31.769423
606,31.745911
607,31.735666
608,31.734741
609,31.724211
610,31.719885
611,31.708876
612,31.692963
613,31.686378
614,31.685085
615,31.668375
616,31.659460
617,31.652887
618,31.647551
619,31.631399
620,31.610052
621,31.598831
622,31.597027
623,31.593855
624,31.577465
625,31.567320
626,31.563278
627,31.555498
628,31.539804
629,31.533691
630,31.524540
631,31.508247
632,31.506678
633,31.488489
634,31.478079
635,31.462479
636,31.446539
637,31.442368
638,31.433737
639,31.428793
640,31.418726
641,31.399624
642,31.391993
643,31.385891
644,31.374998
645,31.359875
646,31.343803
647,31.339237
648,31.330954
649,31.324987
650,31.314241
651,31.310247
652,31.297127
653,31.291954
654,31.286402
655,31.277596
656,31.257345
657,31.250427
658,31.242180
