Index,Eigenvalue
0,-0.000298
1,0.006569
2,0.007807
3,0.010169
4,0.011087
5,0.015664
6,0.019627
7,0.028885
8,0.032656
9,0.041506
10,0.044490
11,0.054570
12,0.054842
13,0.055724
14,0.061925
15,0.065779
16,0.073148
17,0.087625
18,0.089168
19,0.098826
20,0.101290
21,0.103723
22,0.105561
23,0.107921
24,0.116156
25,0.125710
26,0.146220
27,0.160426
28,0.175581
29,0.200292
30,0.211236
31,0.214292
32,0.215570
33,0.228122
34,0.242755
35,0.249669
36,0.275896
37,0.277724
38,0.293771
39,0.321838
40,0.342838
41,0.344582
42,0.353440
43,0.391797
44,0.409391
45,0.410465
46,0.459123
47,0.466380
48,0.481784
49,0.487374
50,0.520899
51,0.521351
52,0.541892
53,0.549058
54,0.565623
55,0.571080
56,0.653632
57,0.687124
58,0.708132
59,0.717789
60,0.748748
61,0.757527
62,0.850031
63,0.851525
64,0.864632
65,0.864845
66,0.894380
67,0.948487
68,0.993741
69,0.998633
70,1.007051
71,1.022129
72,1.039014
73,1.084600
74,1.107286
75,1.195339
76,1.225662
77,1.247760
78,1.307998
79,1.315932
80,1.318149
81,1.392812
82,1.448352
83,1.459329
84,1.502154
85,1.503770
86,1.561029
87,1.597625
88,1.632683
89,1.639874
90,1.716359
91,1.720064
92,1.762727
93,1.855006
94,1.870481
95,1.892310
96,1.976628
97,1.985310
98,1.991374
99,1.995112
100,2.022949
101,2.112487
102,2.131984
103,2.213444
104,2.231469
105,2.250443
106,2.382238
107,2.389161
108,2.444847
109,2.465174
110,2.502961
111,2.575246
112,2.610586
113,2.688584
114,2.730704
115,2.734250
116,2.845973
117,2.905387
118,2.911119
119,2.944954
120,2.950681
121,3.002364
122,3.129196
123,3.229667
124,3.230748
125,3.242406
126,3.321763
127,3.332525
128,3.362896
129,3.367873
130,3.430228
131,3.597414
132,3.658049
133,3.699548
134,3.757442
135,3.780359
136,3.781329
137,3.920537
138,3.933472
139,3.958398
140,4.160074
141,4.173413
142,4.184445
143,4.205308
144,4.296502
145,4.309978
146,4.438919
147,4.477155
148,4.489512
149,4.537341
150,4.616452
151,4.700653
152,4.836512
153,4.905066
154,4.940790
155,4.989425
156,5.094803
157,5.164172
158,5.165873
159,5.310930
160,5.341527
161,5.375842
162,5.463481
163,5.561043
164,5.586823
165,5.704473
166,5.734457
167,5.781569
168,5.819673
169,5.821744
170,5.944492
171,5.964213
172,6.185376
173,6.291442
174,6.308794
175,6.335435
176,6.464119
177,6.536365
178,6.544624
179,6.664031
180,6.753827
181,6.819796
182,6.924673
183,6.931107
184,7.149231
185,7.158512
186,7.274794
187,7.316937
188,7.319902
189,7.549784
190,7.579051
191,7.592864
192,7.736296
193,7.931722
194,7.958849
195,8.006686
196,8.038080
197,8.077424
198,8.097460
199,8.339278
200,8.427890
201,8.443994
202,8.589902
203,8.601115
204,8.680705
205,8.719432
206,8.865632
207,9.001520
208,9.072927
209,9.173956
210,9.271876
211,9.388119
212,9.413453
213,9.421935
214,9.432389
215,9.558649
216,9.742910
217,9.867399
218,9.876879
219,9.991463
220,10.253379
221,10.260624
222,10.334246
223,10.376180
224,10.405064
225,10.565303
226,10.680715
227,10.731063
228,10.751065
229,10.926079
230,11.072044
231,11.156196
232,11.208936
233,11.313776
234,11.455750
235,11.569107
236,11.671532
237,11.806014
238,11.824128
239,11.846205
240,12.122896
241,12.161688
242,12.197068
243,12.251938
244,12.567395
245,12.641601
246,12.715851
247,12.728354
248,12.753675
249,12.929888
250,13.211463
251,13.246236
252,13.318694
253,13.410554
254,13.411834
255,13.558296
256,13.594352
257,13.808825
258,13.901056
259,13.964677
260,14.094418
261,14.328883
262,14.330117
263,14.665201
264,14.748478
265,14.802908
266,14.967656
267,15.075671
268,15.171891
269,15.301249
270,15.405793
271,15.517264
272,15.660701
273,15.712687
274,15.771424
275,15.973741
276,16.014042
277,16.117895
278,16.214180
279,16.318760
280,16.543457
281,16.599173
282,16.657543
283,16.799164
284,16.984913
285,17.118603
286,17.269510
287,17.495922
288,17.540339
289,17.710632
290,17.811796
291,17.839050
292,18.083460
293,18.159849
294,18.311457
295,18.414656
296,18.686739
297,18.705879
298,18.790382
299,18.801317
300,18.994446
301,19.192482
302,19.320242
303,19.448980
304,19.570414
305,19.814312
306,19.827915
307,19.856611
308,20.174435
309,20.272961
310,20.369825
311,20.513235
312,20.775473
313,20.791733
314,20.875080
315,21.003645
316,21.054655
317,21.268061
318,21.349218
319,21.497675
320,21.559978
321,21.605160
322,22.029093
323,22.085356
324,22.116600
325,22.167454
326,22.284723
327,22.557899
328,22.606838
329,22.862291
330,22.922857
331,23.181679
332,23.457355
333,23.560328
334,23.737024
335,23.862202
336,23.981522
337,24.136597
338,24.246218
339,24.290192
340,24.496620
341,24.506905
342,24.768055
343,24.912613
344,25.033735
345,25.149446
346,25.449493
347,25.477779
348,25.672895
349,25.830484
350,26.031290
351,26.066696
352,26.333422
353,26.390812
354,26.556221
355,26.804522
356,26.833456
357,27.279099
358,27.371971
359,27.406498
360,27.434242
361,27.556036
362,27.662874
363,28.035418
364,28.052921
365,28.473955
366,28.496347
