Index,Singular_Value
0,500.649414
1,18.136845
2,17.988937
3,17.876987
4,17.843763
5,17.793980
6,17.693167
7,17.604578
8,17.587149
9,17.489254
10,17.469236
11,17.444128
12,17.418985
13,17.372217
14,17.335005
15,17.280817
16,17.222370
17,17.213688
18,17.096725
19,17.081919
20,17.037230
21,17.009279
22,16.978090
23,16.937904
24,16.863472
25,16.852358
26,16.801821
27,16.765373
28,16.745241
29,16.703711
30,16.662771
31,16.646009
32,16.637953
33,16.618530
34,16.566383
35,16.558283
36,16.519621
37,16.438934
38,16.407486
39,16.381884
40,16.363224
41,16.320566
42,16.273256
43,16.260393
44,16.207453
45,16.183100
46,16.116705
47,16.087837
48,16.080227
49,16.047913
50,16.030092
51,15.999410
52,15.981706
53,15.911054
54,15.908531
55,15.884095
56,15.869288
57,15.823073
58,15.798604
59,15.765024
60,15.726696
61,15.698948
62,15.666381
63,15.644722
64,15.594555
65,15.575327
66,15.565405
67,15.527192
68,15.504282
69,15.493041
70,15.469040
71,15.442489
72,15.407114
73,15.396927
74,15.379587
75,15.332816
76,15.309055
77,15.259944
78,15.254275
79,15.213558
80,15.189164
81,15.160503
82,15.137536
83,15.104689
84,15.068066
85,15.056544
86,15.049674
87,15.018266
88,14.992512
89,14.975555
90,14.935991
91,14.902482
92,14.894080
93,14.875251
94,14.858286
95,14.829766
96,14.806558
97,14.802047
98,14.776875
99,14.739020
100,14.731201
101,14.703819
102,14.677839
103,14.633144
104,14.613947
105,14.593298
106,14.582327
107,14.572311
108,14.532213
109,14.502392
110,14.478920
111,14.443288
112,14.415196
113,14.390728
114,14.384752
115,14.342357
116,14.334446
117,14.321097
118,14.288820
119,14.273575
120,14.256556
121,14.224802
122,14.221365
123,14.154819
124,14.154250
125,14.123557
126,14.102873
127,14.099772
128,14.040233
129,14.019236
130,14.006082
131,13.984327
132,13.967328
133,13.928852
134,13.920563
135,13.882764
136,13.875662
137,13.839383
138,13.835219
139,13.795454
140,13.780629
141,13.761583
142,13.746690
143,13.723053
144,13.710688
145,13.684823
146,13.661700
147,13.640777
148,13.631161
149,13.610147
150,13.592266
151,13.539852
152,13.518362
153,13.510282
154,13.482989
155,13.477463
156,13.446471
157,13.436035
158,13.418551
159,13.408050
160,13.379331
161,13.363570
162,13.336884
163,13.321733
164,13.288456
165,13.256677
166,13.223166
167,13.208998
168,13.172788
169,13.158165
170,13.150665
171,13.124228
172,13.116613
173,13.084052
174,13.057364
175,13.042324
176,13.033029
177,12.999885
178,12.974471
179,12.953470
180,12.937443
181,12.928045
182,12.880286
183,12.870496
184,12.864706
185,12.822358
186,12.790433
187,12.782909
188,12.750243
189,12.735435
190,12.731435
191,12.724261
192,12.708694
193,12.693223
194,12.670788
195,12.664606
196,12.649058
197,12.610835
198,12.595808
199,12.572622
200,12.552330
201,12.515939
202,12.505990
203,12.490905
204,12.478860
205,12.471478
206,12.458775
207,12.453454
208,12.416467
209,12.407168
210,12.379914
211,12.337321
212,12.322666
213,12.305717
214,12.270992
215,12.248538
216,12.242030
217,12.230391
218,12.212018
219,12.189794
220,12.166439
221,12.158041
222,12.150655
223,12.128361
224,12.093186
225,12.079512
226,12.045344
227,12.030720
228,11.995839
229,11.990571
230,11.967318
231,11.957686
232,11.938447
233,11.899322
234,11.876899
235,11.862441
236,11.847592
237,11.815402
238,11.799487
239,11.783655
240,11.777465
241,11.751837
242,11.726413
243,11.716649
244,11.695646
245,11.680142
246,11.648426
247,11.635648
248,11.615462
249,11.588467
250,11.563407
251,11.554814
252,11.538284
253,11.520022
254,11.498118
255,11.479299
256,11.467444
257,11.447845
258,11.431198
259,11.421432
260,11.402732
261,11.389486
262,11.378945
263,11.361572
264,11.345513
265,11.326134
266,11.298836
267,11.297081
268,11.263060
269,11.238445
270,11.213025
271,11.197624
272,11.190426
273,11.157925
274,11.144342
275,11.116370
276,11.092051
277,11.087057
278,11.078212
279,11.069917
280,11.047199
281,11.022571
282,10.999704
283,10.984571
284,10.956889
285,10.951545
286,10.915114
287,10.901358
288,10.887481
289,10.879387
290,10.853393
291,10.827237
292,10.811797
293,10.782929
294,10.780763
295,10.775988
296,10.755059
297,10.741271
298,10.707781
299,10.687870
300,10.666843
301,10.659995
302,10.650438
303,10.621739
304,10.593984
305,10.564880
306,10.562451
307,10.559232
308,10.539096
309,10.530298
310,10.515415
311,10.489615
312,10.470464
313,10.461302
314,10.444825
315,10.422340
316,10.392390
317,10.387241
318,10.383658
319,10.349105
320,10.338309
321,10.312006
322,10.303067
323,10.288911
324,10.279547
325,10.244884
326,10.233707
327,10.214636
328,10.189077
329,10.176259
330,10.164761
331,10.162047
332,10.125701
333,10.118329
334,10.105973
335,10.091691
336,10.077675
337,10.063338
338,10.037928
339,10.020512
340,10.001015
341,9.982994
342,9.957685
343,9.941763
344,9.934337
345,9.900889
346,9.892424
347,9.868969
348,9.857268
349,9.843398
350,9.823404
351,9.811176
352,9.791010
353,9.771923
354,9.760302
355,9.756011
356,9.740700
357,9.725853
358,9.713388
359,9.685803
360,9.650430
361,9.632921
362,9.606424
363,9.583951
364,9.570064
365,9.550628
366,9.541471
367,9.535767
368,9.531181
369,9.511266
370,9.485837
371,9.472709
372,9.447997
373,9.443580
374,9.422677
375,9.403034
376,9.387849
377,9.378073
378,9.360085
379,9.344564
380,9.337170
381,9.317854
382,9.303349
383,9.289489
384,9.258049
385,9.236135
386,9.227090
387,9.223209
388,9.200036
389,9.185839
390,9.178988
391,9.153710
392,9.135050
393,9.131427
394,9.102722
395,9.081541
396,9.059631
397,9.045199
398,9.019725
399,9.010422
400,8.994929
401,8.982323
402,8.974925
403,8.954256
404,8.946816
405,8.920771
406,8.899026
407,8.886580
408,8.878450
409,8.862676
410,8.837763
411,8.835651
412,8.819201
413,8.786613
414,8.768994
415,8.760913
416,8.736504
417,8.725662
418,8.709358
419,8.690601
420,8.665215
421,8.648879
422,8.610082
423,8.599936
424,8.579555
425,8.567489
426,8.551887
427,8.531516
428,8.512870
429,8.502961
430,8.486661
431,8.454027
432,8.448318
433,8.432266
434,8.417110
435,8.403303
436,8.376331
437,8.371837
438,8.361633
439,8.349812
440,8.334227
441,8.319000
442,8.293581
443,8.273184
444,8.266102
445,8.252428
446,8.235399
447,8.200949
448,8.198883
449,8.178874
450,8.168668
451,8.145707
452,8.137516
453,8.123641
454,8.109964
455,8.095922
456,8.088300
457,8.073065
458,8.060732
459,8.044216
460,8.016409
461,8.000593
462,7.964014
463,7.956258
464,7.945393
465,7.928865
466,7.908766
467,7.898799
468,7.863332
469,7.853192
470,7.843374
471,7.820688
472,7.808175
473,7.798202
474,7.779489
475,7.758439
476,7.749203
477,7.715974
478,7.709290
479,7.701200
480,7.689343
481,7.667761
482,7.642642
483,7.634706
484,7.619447
485,7.595503
486,7.592002
487,7.569772
488,7.556884
489,7.551033
490,7.535339
491,7.510167
492,7.493228
493,7.482617
494,7.465057
495,7.454551
496,7.443187
497,7.425611
498,7.409101
499,7.372115
500,7.363334
501,7.356489
502,7.331555
503,7.316738
504,7.297007
505,7.293874
506,7.285589
507,7.264305
508,7.252237
509,7.237607
510,7.214285
511,7.207411
512,7.186392
513,7.178790
514,7.172623
515,7.152224
516,7.123349
517,7.117495
518,7.107204
519,7.089180
520,7.072279
521,7.047864
522,7.045652
523,7.020868
524,7.005934
525,6.985212
526,6.977479
527,6.965852
528,6.945685
529,6.942368
530,6.922415
531,6.911919
532,6.903784
533,6.866740
534,6.859015
535,6.839086
536,6.832398
537,6.803383
538,6.788097
539,6.764472
540,6.760705
541,6.736284
542,6.711021
543,6.687377
544,6.680792
545,6.661583
546,6.649887
547,6.630673
548,6.616238
549,6.614593
550,6.582527
551,6.571909
552,6.552064
553,6.549642
554,6.530725
555,6.513056
556,6.504614
557,6.470798
