PC1,PC2,PC3,PC4,PC5
-0.070658,0.618537,-0.464005,-0.030888,0.209056
-0.322090,-0.066846,0.207012,-0.101001,-0.021859
0.040637,0.007857,-0.240963,-0.402972,0.045386
0.386429,0.225953,0.158830,-0.017785,-0.649477
0.090514,-0.103246,0.358871,0.551085,0.072187
0.383470,0.114129,-0.390449,0.326938,0.000778
-0.111109,-0.225806,0.374489,0.261976,-0.012609
0.058031,-0.157024,0.177440,0.202396,-0.125904
-0.159293,0.292355,0.212895,0.309645,-0.105230
0.096748,-0.299850,0.061539,0.604034,0.154939
-0.163222,0.528884,0.004434,0.217803,-0.447706
0.163049,0.774994,0.461205,-0.389452,0.194218
-0.472588,0.052834,0.132926,0.057492,-0.190638
0.153723,-0.382774,-0.260221,0.477274,0.143461
0.528093,0.024899,-0.093406,-0.216712,-0.170439
0.001481,-0.105929,-0.599073,-0.121430,0.015168
0.037156,-0.089140,0.445735,-0.624058,0.129115
0.069315,0.032601,0.171322,-0.025300,-0.319570
0.062551,-0.321825,0.043425,-0.212419,0.008892
0.316658,0.153285,-0.171751,0.260736,-0.035732
-0.154287,-0.203641,0.102810,-0.019015,0.242100
-0.679522,0.169256,-0.121724,0.214463,-0.274974
-0.102796,0.361660,0.156149,0.157482,0.028507
0.229629,0.304205,-0.061300,0.041509,0.056763
0.475314,-0.163499,-0.236421,0.719729,-0.020899
0.422188,-0.282918,0.319000,0.169554,0.226835
-0.330009,0.405060,0.063029,-0.173524,0.270880
-0.237707,-0.077313,-0.385119,-0.310941,0.136934
0.449643,-0.350084,0.619918,-0.346006,-0.340150
0.012932,-0.157179,0.187335,0.216600,-0.075439
-0.229351,0.286903,-0.174948,0.163139,-0.553212
-0.164819,0.121931,0.059388,0.322360,-0.036851
-0.052834,0.354340,-0.163375,0.128300,0.111136
0.381700,-0.069367,0.070106,0.191411,-0.499330
0.068045,0.114845,0.052706,-0.066244,-0.214340
-0.479412,-0.467427,-0.556311,0.411023,0.020855
-0.503972,-0.018151,-0.221420,-0.196537,-0.146983
0.228046,0.053211,0.093407,-0.102072,-0.093175
0.123474,0.073413,0.407084,-0.108727,-0.127239
0.005743,0.136963,0.225167,-0.005888,0.316234
-0.136464,-0.173147,-0.139355,-0.218201,0.078927
0.119898,0.293305,-0.186405,0.385412,-0.212779
0.138524,0.404395,0.276589,-0.089528,0.093975
-0.191490,0.117059,-0.242432,-0.076979,0.213034
0.016507,0.318936,-0.055325,0.654124,0.019897
-0.165093,0.334434,0.265300,-0.188143,0.149269
-0.124398,-0.073992,0.106457,-0.177414,-0.210876
-0.198026,-0.137056,-0.011999,-0.023468,0.351935
0.115671,0.053361,-0.380702,0.135330,0.266215
-0.261580,0.026099,0.046109,0.131012,-0.262103
-0.089771,-0.183350,0.290658,0.232135,-0.004208
-0.516179,0.099869,0.486727,-0.207028,0.560431
